Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"ERCOT North 345 kV Hub Day-Ahead 5 MW Peak (ERE)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,690,0
"ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day (ERW)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,690
"ERCOT North 345 KV Hub Real-Time Peak Financial (50 MW) (ERNQ)",Future,Energy,"Nasdaq NFX",NFX,"United States","North America",2017,7,2017-7,0,513
"Eris CDX HY Credit Index 5Y",Future,Other,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,1031,170
"Eris CDX IG Credit Index 5Y",Future,Other,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,3025,473
"ERIS Standard EUR 2 Year 0.00% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,676,849
"ERIS Standard EUR 2 Year 0.50% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,370,240
"ERIS Standard EUR 5 Year 0.25% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,290,300
"ERIS Standard GBP 10 Year 1.75% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,748,270
"ERIS Standard GBP 3 Year 0.75% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,600,290
ETFs,Option,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,913193,1501933
Ethanol,Future,Energy,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,6524,1901
"Ethanol T2 FOB Rotterdam Including Duty (Platts) (Z1)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3372,4984
"EU Wheat",Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,23789,971
"EU Wheat",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,0,100
EUA,Future,Other,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,317224,1067826
EUA,Option,Other,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,30481,122362
"EUA Phase 3 Daily",Future,Other,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,32234,0
"EUA UK Auction",Future,Other,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,17078,0
EUAA,Future,Other,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,0,25
EUR/CAD,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,0,500
EUR/CHF,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,600,700
EUR/CNH,Future,Currencies,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,355,5
EUR/CZK,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,0,700
EUR/GBP,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,2363,637
EUR/GBP,Option,Currencies,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,4457,NULL
"EUR/GBP (European Style)",Option,Currencies,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,26
EUR/HUF,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,187031,176956
EUR/HUF,Option,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,0,700
"EUR/Indian Rupee",Future,Currencies,"Metropolitan Stock Exchange of India",MSEI,India,Asia,2017,7,2017-7,9097,952
EUR/INR,Future,Currencies,BSE,"BSE India",India,Asia,2017,7,2017-7,132189,9274
EUR/JPY,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,6800,2450
EUR/JPY,Option,Currencies,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,26435,NULL
EUR/NOK,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,600,500
EUR/PLN,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,800,1600
EUR/RUB,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,150,150
EUR/RUB,Future,Currencies,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,1837803,153770
EUR/RUB,Option,Currencies,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,11619,45290
EUR/TRY,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,4064,12984
EUR/USD,Future,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,46888,41169
EUR/USD,Future,Currencies,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,3284169,401198
EUR/USD,Option,Currencies,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,267,586
EUR/USD,Option,Currencies,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,151044,NULL
"EUR/USD FX (XEF)",Future,Currencies,"Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,7,2017-7,5997,970
"EUR/USD Premium Quoted (European Style) – 2 PM Fix",Option,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,865807,338323
"Euribor 3 Year 0.00% Interest Rate",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,874,383
Euro,Future,Currencies,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,31365,17376
