Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Cocoa (CJ)",Future,Agriculture,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,1
"Coffee C",Future,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,637351,215119
"Coffee C",Option,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,192012,192738
"Coffee C 1 Month",Option,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,5390,27017
"Coffee C 2 Month",Option,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,0,3725
Coke,Future,Energy,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,2488142,162689
"Coking Coal",Future,Energy,"SGX Asiaclear","SGX ASIACLEAR",Singapore,Asia,2017,7,2017-7,10030,13220
"Colcap Index",Future,Equity,"Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,293,81
"Colombian Peso/US Dollar",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,185,19
"Columbia Gas TCO (Platts IFERC) Basis (TC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,824,19818
"Columbia Gulf, Louisiana Natural Gas (Platts IFERC) Basis (GL)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1332,7439
"Columbia Gulf, Mainline Natural Gas (Platts IFERC) Basis (5Z)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,999,10401
"Common Wheat (PM)",Future,Agriculture,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,8,1
"Conway Natural Gasoline (OPIS) (8L)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,242,1068
"Conway Normal Butane (OPIS) (8M)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,339,3832
"Conway Propane (OPIS) (8K)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,10865,18055
"Conway Propane (OPIS) Average Price (CPR)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,18
