Exchange Name,Reported Instrument Name,Report Month Name,Report Year,Report_Year_Month,Volume,Open_Interest
JSE Securities Exchange,Brent Crude Oil,November,2015,2015-11,1723,34
JSE Securities Exchange,Brent Crude Oil,December,2015,2015-12,3093,2960
Thailand Futures Exchange,Brent Crude Oil,January,2015,2015-01,2896,505
Thailand Futures Exchange,Brent Crude Oil,January,2016,2016-01,2817,391
Thailand Futures Exchange,Brent Crude Oil,February,2015,2015-02,3473,351
Thailand Futures Exchange,Brent Crude Oil,February,2016,2016-02,3765,528
Thailand Futures Exchange,Brent Crude Oil,March,2015,2015-03,2506,550
Thailand Futures Exchange,Brent Crude Oil,March,2016,2016-03,2961,495
Thailand Futures Exchange,Brent Crude Oil,April,2015,2015-04,2152,398
Thailand Futures Exchange,Brent Crude Oil,April,2016,2016-04,2507,531
Thailand Futures Exchange,Brent Crude Oil,May,2015,2015-05,1278,218
Thailand Futures Exchange,Brent Crude Oil,May,2016,2016-05,2156,397
Thailand Futures Exchange,Brent Crude Oil,June,2015,2015-06,1585,355
Thailand Futures Exchange,Brent Crude Oil,June,2016,2016-06,2308,235
Thailand Futures Exchange,Brent Crude Oil,July,2015,2015-07,1244,352
Thailand Futures Exchange,Brent Crude Oil,July,2016,2016-07,1522,249
Thailand Futures Exchange,Brent Crude Oil,August,2015,2015-08,1852,389
Thailand Futures Exchange,Brent Crude Oil,August,2016,2016-08,1040,156
Thailand Futures Exchange,Brent Crude Oil,September,2015,2015-09,2852,506
Thailand Futures Exchange,Brent Crude Oil,October,2015,2015-10,2771,548
Thailand Futures Exchange,Brent Crude Oil,November,2015,2015-11,2036,501
Thailand Futures Exchange,Brent Crude Oil,December,2015,2015-12,1325,384
