Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
Kosdaq 150,Future,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,133270,42151
Kospi 200,Future,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,5206168,376137
Kospi 200,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,3632386,0
Kospi 200,Option,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,59608138,3343601
KRW/USD,Future,Currencies,Singapore Exchange,Singapore Exchange,SGX,Singapore,Asia,2017,8,2017-08,8/1/2017,5376,831
Late Rice (LR),Future,Agriculture,Zhengzhou Commodity Exchange,Zhengzhou Commodity Exchange,ZCE,China,Asia,2017,8,2017-08,8/1/2017,37,0
Lead,Future,Metals,Multi Commodity Exchange of India,Multi Commodity Exchange of India,MCX,India,Asia,2017,8,2017-08,8/1/2017,336891,2733
Lead,Future,Metals,Shanghai Futures Exchange,Shanghai Futures Exchange,SHFE,China,Asia,2017,8,2017-08,8/1/2017,1298305,39736
Lead TAPOS,Option,Metals,London Metal Exchange,Hong Kong Exchanges and Clearing,LME,United Kingdom,Europe,2017,8,2017-08,8/1/2017,293,1793
Lean Hog,Future,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,976007,246566
Lean Hog,Option,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,318527,182770
Light Sweet Crude Oil (WTI) Daily Physical (CD),Option,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,5350,0
Light Sweet Crude Oil (WTI) Financial 1 Month Spread (7A),Option,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,91000,293048
Light Sweet Crude Oil European Financial (LC),Option,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,13195,55784
Light Sweet Oil (Net Energy) Monthly Index (LSW),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,645,720
Linear Low Density Polyethylene (LLDPE),Future,Other,Dalian Commodity Exchange,Dalian Commodity Exchange,DCE,China,Asia,2017,8,2017-08,8/1/2017,6140060,306690
Live Cattle,Future,Agriculture,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,65674,10656
Live Cattle,Future,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1155815,314834
Live Cattle ,Option,Agriculture,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,71163,45095
Live Cattle,Option,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,224112,181806
LLS (Argus) vs. WTI Crude Oil Average Price (WJO),Option,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,5900
LLS (Argus) vs. WTI Financial (WJ),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,8245,19025
LNG Gas,Future,Energy,SGX,Singapore Exchange,SGX ASIACLEAR,Singapore,Asia,2017,8,2017-08,8/1/2017,60,40
LNG Japan/Korea Marker (Platts) (JKM),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,310,310
London Aluminium Mini,Future,Metals,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,30,19
London Copper Mini,Future,Metals,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,128,80
London Lead Mini,Future,Metals,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,41,5
London Nickel Mini,Future,Metals,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,20,0
London Zinc Mini,Future,Metals,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,15,12
Long Gilt,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,5356757,826125
Long Term Bond,Future,Interest Rates,Warsaw Stock Exchange,Warsaw Stock Exchange,WSE,Poland,Europe,2017,8,2017-08,8/1/2017,50,53
LOOP Crude Oil Storage (LPS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,4100,18135
LOOP Gulf Coast Sour Crude Oil (MB),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,740,1720
