Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
1% Fuel Oil Cargoes CIF MED (Platts) (1W),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,16
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,170,1077
1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (88),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,30,30
1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,60
10 Baht Gold,Future,Metals,Thailand Futures Exchange,Thailand Futures Exchange,TFEX,Thailand,Asia,2017,8,2017-08,8/1/2017,536170,37178
10 Year Canadian Government Bond (CGB),Future,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,2763653,500997
10 Year Canadian Government Bond (OGB),Option,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,4043,2591
10 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,BVC,Colombia,Latin America,2017,8,2017-08,8/1/2017,14492,3483
10 Year Japan Government Bond,Future,Interest Rates,Japan Exchange,Japan Exchange,JPX,Japan,Asia,2017,8,2017-08,8/1/2017,597918,102820
10 Year Japan Government Bond,Option,Interest Rates,Japan Exchange,Japan Exchange,JPX,Japan,Asia,2017,8,2017-08,8/1/2017,73995,13667
10 year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,53852,50606
10 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,16070,71624
10 Year Swedish Government Bond (SGB10),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,76478,52521
10 Year Treasury Bond,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,2435694,1057054
10 Year Treasury Bond ,Future,Interest Rates,China Financial Futures Exchange,China Financial Futures Exchange,CFFEX,China,Asia,2017,8,2017-08,8/1/2017,855885,62753
10 Year Treasury Bond,Future,Interest Rates,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,947087,99101
10 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,39078341,3435810
10 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,12492079,3148962
10 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,27562,32990
100 oz Gold,Future,Metals,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,4,0
15 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,57689,47820
2 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,BVC,Colombia,Latin America,2017,8,2017-08,8/1/2017,3078,1261
2 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,15617,26348
2 Year Spintab Bond (SWH2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,2055,2974
2 Year Stadshypotek Bond (STH2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,11894,10194
2 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,837,12362
2 Year Swedish Government Bond (SGB2Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,25278,34845
2 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,11174157,1493960
2 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,494827,329179
20 Year Treasury Bond,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,21688,26002
3 Month Canadian Bankers Acceptance (BAX),Future,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,1661178,989356
3 Month Canadian Bankers' Acceptance (OBX),Option,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,25575,169156
3 Month Euribor,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,7246,39811
3 Month Euribor,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,12212377,3994499
3 Month Euribor,Future,Interest Rates,LSE Derivatives Market,London Stock Exchange Group,LSEDM,United Kingdom,Europe,2017,8,2017-08,8/1/2017,74760,61976
3 Month Euribor,Option,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,418
3 Month Euribor,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,291307,3848332
3 Month Euribor 1 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,360889,1339593
3 Month Euribor 2 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,463950,1309797
3 Month Euribor 3 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,343300,998054
3 Month Euribor 4 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,0,2500
3 Month Euroswiss,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,369322,221252
3 Month Euroyen,Future,Interest Rates,Tokyo Financial Exchange,Tokyo Financial Exchange,TFX,Japan,Asia,2017,8,2017-08,8/1/2017,96098,156137
3 Month Hibor,Future,Interest Rates,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,1,48
3 Month NIBOR (3NIBFR),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,10000,95000
3 Month Sterling,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,12048146,3373579
3 Month Sterling,Future,Interest Rates,LSE Derivatives Market,London Stock Exchange Group,LSEDM,United Kingdom,Europe,2017,8,2017-08,8/1/2017,71965,61103
3 Month Sterling,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,1209358,5168905
3 Month Sterling 2 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,345885,1197585
3 Month Sterling 3 Year Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,1600,49500
3 Month Sterling Mid Curve,Option,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,606546,1385058
3 Month STIBOR (3STIBF),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,7140,31140
3 Month WIBOR,Future,Interest Rates,Warsaw Stock Exchange,Warsaw Stock Exchange,WSE,Poland,Europe,2017,8,2017-08,8/1/2017,0,420
3 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,2099,3278
3 Year Treasury Bond,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,3253620,1125441
3 Year Treasury Bond,Future,Interest Rates,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,1687514,209319
3 Year Treasury Bond,Option,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,0,3000
3 Year Treasury Bond Intra-Day,Option,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,45933,0
3 Year Treasury Bond Overnight,Option,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,29450,0
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (1000 MT) (BOB),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,862,4694
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (FO),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,1335,17729
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread Balance of the Month (FCB),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,224,224
3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FK),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,233,1169
3.5% Fuel Oil CIF MED (Platts) (7D),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,10,351
3.5% Fuel Oil CIF MED (Platts) Balance of the Month (8D),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,5,5
3.5% Fuel Oil Rotterdam vs. 3.5% FOB MED Spread Balance of the Month (63),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,240,240
30 Day Interbank Cash Rate,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,114409,171691
30 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,326,1119
30 Year Treasury Bond,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,7620647,766649
30 Year Treasury Bond,Option,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,2637961,589897
30 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,135,215
4 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,15682,41646
4 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,70,404
5 Year Canadian Government Bond (CGF),Future,Interest Rates,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,37025,4950
5 Year China Ministry of Finance Treasury Bond,Future,Interest Rates,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,688,669
5 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,BVC,Colombia,Latin America,2017,8,2017-08,8/1/2017,10024,4449
5 Year Spintab Bond (SWH5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,896,11272
5 Year Stadshypotek Bond (STH5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,26602,24266
5 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,13241,70750
5 Year Swedish Government Bond (SGB5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,62822,66530
5 Year Treasury Bond,Future,Interest Rates,China Financial Futures Exchange,China Financial Futures Exchange,CFFEX,China,Asia,2017,8,2017-08,8/1/2017,274703,48287
5 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,24543109,3236138
5 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,2501538,1036990
5 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,23500,20615
"5,000 oz Silver",Future,Metals,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,56,8
50 Baht Gold,Future,Metals,Thailand Futures Exchange,Thailand Futures Exchange,TFEX,Thailand,Asia,2017,8,2017-08,8/1/2017,33511,2276
6 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,25552,40232
7 Year Standards,Future,Interest Rates,Eris Exchange,Eris Exchange,ERIS,United States,North America,2017,8,2017-08,8/1/2017,1111,8348
90 Day Bank Bill,Future,Interest Rates,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,2133802,993421
91 Day Government of India (GOI) Treasury Bill,Future,Interest Rates,BSE,BSE,BSE India,India,Asia,2017,8,2017-08,8/1/2017,838492,3
AEX Daily,Option,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,269326,0
AEX Mini,Future,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,1242,59
AEX Mini,Option,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,2342,1168
AEX Stock Index,Option,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,741257,276924
AEX Stock Index (FTI),Future,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,736968,57544
AEX Weekly,Option,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,214208,21513
Algonquin City-Gates Natural Gas (Platts Gas Daily/Platts IFERC) Index (N7),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,736
Algonquin City-Gates Natural Gas (Platts IFERC) Basis (B4),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,882
All Futures on Individual Equities,Future,Equity,ASX,ASX,ASX,Australia,Asia,2017,8,2017-08,8/1/2017,81619,526993
All Futures on Individual Equities,Future,Equity,Athens Derivatives Exchange,Athens Derivatives Exchange,ADEX,Greece,Other,2017,8,2017-08,8/1/2017,710814,523994
All Futures on Individual Equities,Future,Equity,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,BVC,Colombia,Latin America,2017,8,2017-08,8/1/2017,40599,27652
All Futures on Individual Equities,Future,Equity,Borsa Istanbul,Borsa Istanbul,BIST,Turkey,Other,2017,8,2017-08,8/1/2017,1673054,677194
All Futures on Individual Equities,Future,Equity,Borsa Italiana (IDEM),London Stock Exchange Group,IDEM,Italy,Europe,2017,8,2017-08,8/1/2017,40453,269242
All Futures on Individual Equities,Future,Equity,BSE,BSE,BSE India,India,Asia,2017,8,2017-08,8/1/2017,28,1
All Futures on Individual Equities,Future,Equity,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,44618,25268
All Futures on Individual Equities,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1551213,5801626
All Futures on Individual Equities,Future,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,21263,40
All Futures on Individual Equities,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,10941,6303
All Futures on Individual Equities,Future,Equity,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,6812374,2582104
All Futures on Individual Equities,Future,Equity,India International Exchange,BSE,INX,India,Asia,2017,8,2017-08,8/1/2017,1699,46
All Futures on Individual Equities,Future,Equity,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,393492,1306483
All Futures on Individual Equities,Future,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,27173822,2384041
All Futures on Individual Equities,Future,Equity,MEFF,MEFF,MEFF,Spain,Europe,2017,8,2017-08,8/1/2017,66023,1016877
All Futures on Individual Equities,Future,Equity,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,0,300
All Futures on Individual Equities,Future,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,15774876,2689784
All Futures on Individual Equities,Future,Equity,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,308171,419602
All Futures on Individual Equities,Future,Equity,National Stock Exchange of India,National Stock Exchange of India,NSE,India,Asia,2017,8,2017-08,8/1/2017,17470818,1597179
All Futures on Individual Equities,Future,Equity,Taiwan Futures Exchange,Taiwan Futures Exchange,TAIFEX,Taiwan,Asia,2017,8,2017-08,8/1/2017,1905066,186029
All Futures on Individual Equities,Future,Equity,Thailand Futures Exchange,Thailand Futures Exchange,TFEX,Thailand,Asia,2017,8,2017-08,8/1/2017,2981904,1599832
All Futures on Individual Equities,Future,Equity,Warsaw Stock Exchange,Warsaw Stock Exchange,WSE,Poland,Europe,2017,8,2017-08,8/1/2017,117963,29328
All Options on Austrian Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,54826,202212
All Options on Belgian Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,55982,165987
All Options on Dutch Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,789022,3772894
All Options on Exchange Traded Funds,Option,Equity,Bats Exchange,BATS Exchange,BATS,United States,North America,2017,8,2017-08,8/1/2017,15734563,
All Options on Exchange Traded Funds,Option,Equity,Boston Options Exchange,TMX Group,BOX,United States,North America,2017,8,2017-08,8/1/2017,2607671,
All Options on Exchange Traded Funds,Option,Equity,C2 Exchange,CBOE Holdings,C2,United States,North America,2017,8,2017-08,8/1/2017,8991150,
All Options on Exchange Traded Funds,Option,Equity,Chicago Board Options Exchange,CBOE Holdings,CBOE,United States,North America,2017,8,2017-08,8/1/2017,27996086,
All Options on Exchange Traded Funds,Option,Equity,EDGX Options Exchange,BATS Exchange,EDGX,United States,North America,2017,8,2017-08,8/1/2017,1931125,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange,Eurex,ISE,United States,North America,2017,8,2017-08,8/1/2017,13811313,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange Gemini,Eurex,ISE GEMINI,United States,North America,2017,8,2017-08,8/1/2017,7708872,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange Mercury,Eurex,ISE MERCURY,United States,North America,2017,8,2017-08,8/1/2017,131296,
All Options on Exchange Traded Funds,Option,Equity,MIAX Options,Miami International Holdings,MIAX,United States,North America,2017,8,2017-08,8/1/2017,7239636,
All Options on Exchange Traded Funds,Option,Equity,MIAX Pearl,Miami International Holdings,MIAX PEARL,United States,North America,2017,8,2017-08,8/1/2017,4574234,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq Boston,Nasdaq,BX,United States,North America,2017,8,2017-08,8/1/2017,792487,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq Options Market,Nasdaq,NOM,United States,North America,2017,8,2017-08,8/1/2017,11311891,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq PHLX,Nasdaq,PHLX,United States,North America,2017,8,2017-08,8/1/2017,23800108,
All Options on Exchange Traded Funds,Option,Equity,NYSE Amex,Intercontinental Exchange,AMEX,United States,North America,2017,8,2017-08,8/1/2017,14923403,
All Options on Exchange Traded Funds,Option,Equity,NYSE Arca,Intercontinental Exchange,ARCA,United States,North America,2017,8,2017-08,8/1/2017,12084916,
All Options on Exchange Traded Funds,Option,Equity,OCC,OCC,OCC,United States,North America,2017,8,2017-08,8/1/2017,,107609237
All Options on Finnish Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,321632,2358155
All Options on French Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1538042,8057163
All Options on German Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,5493265,18988966
All Options on Great Britain Equities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,11065,24961
All Options on Individual Equities,Option,Equity,ASX,ASX,ASX,Australia,Asia,2017,8,2017-08,8/1/2017,8574391,9098787
All Options on Individual Equities,Option,Equity,Athens Derivatives Exchange,Athens Derivatives Exchange,ADEX,Greece,Other,2017,8,2017-08,8/1/2017,511,1560
All Options on Individual Equities,Option,Equity,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,58872932,20600131
All Options on Individual Equities,Option,Equity,Bats Exchange,BATS Exchange,BATS,United States,North America,2017,8,2017-08,8/1/2017,18739888,
All Options on Individual Equities,Option,Equity,Borsa Istanbul,Borsa Istanbul,BIST,Turkey,Other,2017,8,2017-08,8/1/2017,216419,465904
All Options on Individual Equities,Option,Equity,Borsa Italiana (IDEM),London Stock Exchange Group,IDEM,Italy,Europe,2017,8,2017-08,8/1/2017,1040223,4524893
All Options on Individual Equities,Option,Equity,Boston Options Exchange,TMX Group,BOX,United States,North America,2017,8,2017-08,8/1/2017,5330126,
All Options on Individual Equities,Option,Equity,BSE,BSE,BSE India,India,Asia,2017,8,2017-08,8/1/2017,2,0
All Options on Individual Equities,Option,Equity,C2 Exchange,CBOE Holdings,C2,United States,North America,2017,8,2017-08,8/1/2017,3975790,
All Options on Individual Equities,Option,Equity,Chicago Board Options Exchange,CBOE Holdings,CBOE,United States,North America,2017,8,2017-08,8/1/2017,30812100,
All Options on Individual Equities,Option,Equity,EDGX Options Exchange,BATS Exchange,EDGX,United States,North America,2017,8,2017-08,8/1/2017,2384494,
All Options on Individual Equities,Option,Equity,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,5246079,14813771
All options on Individual Equities,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong Exchanges and Clearing,HKEX,Hong Kong,Asia,2017,8,2017-08,8/1/2017,11753123,9037100
All Options on Individual Equities,Option,Equity,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,975929,4940614
All Options on Individual Equities,Option,Equity,International Securities Exchange,Eurex,ISE,United States,North America,2017,8,2017-08,8/1/2017,14262124,
All Options on Individual Equities,Option,Equity,International Securities Exchange Gemini,Eurex,ISE GEMINI,United States,North America,2017,8,2017-08,8/1/2017,10191049,
All Options on Individual Equities,Option,Equity,International Securities Exchange Mercury,Eurex,ISE MERCURY,United States,North America,2017,8,2017-08,8/1/2017,368192,
All Options on Individual Equities,Option,Equity,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,1081236,2518229
All Options on Individual Equities,Option,Equity,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,1773290,164171
All Options on Individual Equities,Option,Equity,MEFF,MEFF,MEFF,Spain,Europe,2017,8,2017-08,8/1/2017,1342502,9077616
All Options on Individual Equities,Option,Equity,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,30110,122110
All Options on Individual Equities,Option,Equity,MIAX Options,Miami International Holdings,MIAX,United States,North America,2017,8,2017-08,8/1/2017,9774827,
All Options on Individual Equities,Option,Equity,MIAX Pearl,Miami International Holdings,MIAX PEARL,United States,North America,2017,8,2017-08,8/1/2017,1015879,
All Options on Individual Equities,Option,Equity,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,1679539,2694433
All Options on Individual Equities,Option,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,117606,165250
All Options on Individual Equities,Option,Equity,Nasdaq Boston,Nasdaq,BX,United States,North America,2017,8,2017-08,8/1/2017,1412363,
All Options on Individual Equities,Option,Equity,Nasdaq Exchanges Nordic Markets,Nasdaq,OMX,Sweden,Europe,2017,8,2017-08,8/1/2017,1599439,3878075
All Options on Individual Equities,Option,Equity,Nasdaq Options Market,Nasdaq,NOM,United States,North America,2017,8,2017-08,8/1/2017,18732176,
All Options on Individual Equities,Option,Equity,Nasdaq PHLX,Nasdaq,PHLX,United States,North America,2017,8,2017-08,8/1/2017,31224966,
All Options on Individual Equities,Option,Equity,National Stock Exchange of India,National Stock Exchange of India,NSE,India,Asia,2017,8,2017-08,8/1/2017,11169729,679769
All Options on Individual Equities,Option,Equity,NYSE Amex,Intercontinental Exchange,AMEX,United States,North America,2017,8,2017-08,8/1/2017,10885715,
All Options on Individual Equities,Option,Equity,NYSE Arca,Intercontinental Exchange,ARCA,United States,North America,2017,8,2017-08,8/1/2017,16507567,
All Options on Individual Equities,Option,Equity,OCC,OCC,OCC,United States,North America,2017,8,2017-08,8/1/2017,,174013188
All Options on Individual Equities,Option,Equity,Oslo Stock Exchange,Oslo Stock Exchange,OSL,Norway,Europe,2017,8,2017-08,8/1/2017,232792,409682
All Options on Individual Equities,Option,Equity,Taiwan Futures Exchange,Taiwan Futures Exchange,TAIFEX,Taiwan,Asia,2017,8,2017-08,8/1/2017,17309,5213
All Options on Individual Equities,Option,Equity,Tel-Aviv Stock Exchange,Tel-Aviv Stock Exchange,TASE,Israel,Other,2017,8,2017-08,8/1/2017,69575,57319
