Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Chicago Board of Trade,7 Year Interest Rate Swap,July,2012,2012-07,24,
Montreal Exchange,Banking Index (SXB),September,2006,2006-09,24,
Chicago Board of Trade,$25 Dow Jones Industrial Index,March,2011,2011-03,23,
Chicago Mercantile Exchange,Boneless Beef Trimmings,November,1997,1997-11,22,
Chicago Mercantile Exchange,Boneless Beef Trimmings,September,1998,1998-09,22,
Chicago Mercantile Exchange,British Pound/Japanese Yen,July,2002,2002-07,22,
Nyse Liffe U.S.,"5,000 oz. Silver",August,2009,2009-08,22,
Montreal Exchange,Banking Index (SXB),June,2006,2006-06,22,
Montreal Exchange,Banking Index (SXB),November,2006,2006-11,22,
New York Board of Trade,BFP Milk,January,2000,2000-01,21,
New York Mercantile Exchange,1% Fuel Oil NWE Crack Spead Swap (FI),August,2009,2009-08,21,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2003,2003-10,21,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),November,2009,2009-11,21,
New York Mercantile Exchange,AER-Dayton Hub Daily Electricity Futures - Peak,January,2007,2007-01,20,
New York Mercantile Exchange,Annual NOX 09 (WW),June,2008,2008-06,20,
Chicago Board of Trade,$25 Dow Jones Industrial Index,April,2011,2011-04,20,
Chicago Mercantile Exchange,British Pound/Japanese Yen,June,2006,2006-06,20,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),October,2008,2008-10,20,
Nyse Liffe U.S.,"5,000 oz. Silver",November,2009,2009-11,20,
ASX 24,Barley,September,2000,2000-09,20,
ASX 24,Barley,August,2000,2000-08,20,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,November,2007,2007-11,20,
Montreal Exchange,Banking Index (SXB),August,2009,2009-08,20,
Montreal Exchange,Banking Index (SXB),May,2006,2006-05,20,
Montreal Exchange,Banking Index (SXB),January,2006,2006-01,20,
Montreal Exchange,Banking Index (SXB),October,2002,2002-10,20,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2002,2002-10,19,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),July,2009,2009-07,19,
