Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Chicago Board of Trade,2 Year Treasury Note,August,2007,2007-08,10567158,
Chicago Board of Trade,2 Year Treasury Note,February,2008,2008-02,10092770,
Chicago Board of Trade,2 Year Treasury Note,May,2010,2010-05,9494232,
Chicago Board of Trade,2 Year Treasury Note,February,2011,2011-02,9276792,
Chicago Board of Trade,2 Year Treasury Note,August,2011,2011-08,9198690,
Chicago Board of Trade,2 Year Treasury Note,November,2007,2007-11,8849735,
Chicago Board of Trade,2 Year Treasury Note,May,2011,2011-05,8520446,
Chicago Board of Trade,2 Year Treasury Note,May,2008,2008-05,8195565,
Chicago Board of Trade,2 Year Treasury Note,February,2010,2010-02,8143364,
Chicago Board of Trade,2 Year Treasury Note,September,2008,2008-09,8126540,
Chicago Board of Trade,2 Year Treasury Note,August,2008,2008-08,7529605,
Chicago Board of Trade,2 Year Treasury Note,January,2008,2008-01,7526098,
Chicago Board of Trade,2 Year Treasury Note,March,2008,2008-03,7515435,
Chicago Board of Trade,2 Year Treasury Note,June,2008,2008-06,7207187,
Chicago Board of Trade,2 Year Treasury Note,November,2009,2009-11,7205477,
Chicago Board of Trade,2 Year Treasury Note,May,2007,2007-05,7197364,
Chicago Board of Trade,2 Year Treasury Note,March,2011,2011-03,7161941,
Korea Futures Exchange,**KOSPI 200,April,2003,2003-04,7076707,
Chicago Board of Trade,2 Year Treasury Note,November,2010,2010-11,6849856,
Chicago Board of Trade,2 Year Treasury Note,June,2011,2011-06,6814119,
Chicago Board of Trade,2 Year Treasury Note,May,2012,2012-05,6748598,
Chicago Board of Trade,2 Year Treasury Note,November,2012,2012-11,6615134,
Chicago Board of Trade,2 Year Treasury Note,August,2012,2012-08,6593608,
Chicago Board of Trade,2 Year Treasury Note,August,2010,2010-08,6491684,
Korea Futures Exchange,**KOSPI 200,October,2003,2003-10,6395886,
Chicago Board of Trade,2 Year Treasury Note,July,2008,2008-07,6366052,
Chicago Board of Trade,2 Year Treasury Note,March,2010,2010-03,6164317,
Chicago Board of Trade,2 Year Treasury Note,April,2010,2010-04,6164098,
Chicago Board of Trade,2 Year Treasury Note,November,2011,2011-11,6105860,
Chicago Board of Trade,2 Year Treasury Note,February,2012,2012-02,6083142,
Korea Futures Exchange,**KOSPI 200,March,2003,2003-03,6002308,
Chicago Board of Trade,2 Year Treasury Note,August,2009,2009-08,5931897,
Chicago Board of Trade,2 Year Treasury Note,February,2007,2007-02,5666562,
Korea Futures Exchange,**KOSPI 200,May,2003,2003-05,5570346,
Chicago Board of Trade,2 Year Treasury Note,June,2007,2007-06,5495714,
Chicago Board of Trade,2 Year Treasury Note,April,2011,2011-04,5363732,
Chicago Board of Trade,2 Year Treasury Note,October,2008,2008-10,5355340,
Korea Futures Exchange,**KOSPI 200,January,2003,2003-01,5337402,
Chicago Board of Trade,2 Year Treasury Note,March,2007,2007-03,5321434,
Korea Futures Exchange,**KOSPI 200,February,2003,2003-02,5180070,
Chicago Board of Trade,2 Year Treasury Note,July,2011,2011-07,5166462,
Chicago Board of Trade,2 Year Treasury Note,December,2007,2007-12,5138525,
Chicago Board of Trade,2 Year Treasury Note,April,2008,2008-04,5102646,
Chicago Board of Trade,2 Year Treasury Note,October,2009,2009-10,5012383,
Chicago Board of Trade,2 Year Treasury Note,March,2012,2012-03,4858255,
Chicago Board of Trade,2 Year Treasury Note,November,2006,2006-11,4826443,
Chicago Board of Trade,2 Year Treasury Note,July,2007,2007-07,4793725,
Chicago Board of Trade,2 Year Treasury Note,September,2007,2007-09,4788122,
Chicago Board of Trade,2 Year Treasury Note,October,2007,2007-10,4771214,
Korea Futures Exchange,**KOSPI 200,November,2003,2003-11,4755906,
Korea Futures Exchange,**KOSPI 200,July,2003,2003-07,4738319,
Chicago Board of Trade,2 Year Treasury Note,May,2006,2006-05,4690891,
Korea Futures Exchange,**KOSPI 200,September,2003,2003-09,4619572,
Korea Futures Exchange,**KOSPI 200,December,2003,2003-12,4492804,
Chicago Board of Trade,2 Year Treasury Note,January,2010,2010-01,4487193,
Chicago Board of Trade,2 Year Treasury Note,August,2006,2006-08,4461049,
Chicago Board of Trade,2 Year Treasury Note,May,2009,2009-05,4409040,
Chicago Board of Trade,2 Year Treasury Note,June,2010,2010-06,4398836,
Korea Futures Exchange,**KOSPI 200,June,2003,2003-06,4225179,
Chicago Board of Trade,2 Year Treasury Note,January,2011,2011-01,4172264,
Chicago Board of Trade,2 Year Treasury Note,December,2009,2009-12,4150567,
Chicago Board of Trade,2 Year Treasury Note,July,2010,2010-07,4083625,
Chicago Board of Trade,2 Year Treasury Note,November,2008,2008-11,4067926,
Chicago Board of Trade,2 Year Treasury Note,September,2011,2011-09,3990674,
Euronext Paris,CAC 40 1 Euro,January,1999,1999-01,3981887,
Chicago Board of Trade,2 Year Treasury Note,September,2009,2009-09,3915709,
Chicago Board of Trade,2 Year Treasury Note,July,2012,2012-07,3831353,
Chicago Board of Trade,2 Year Treasury Note,June,2009,2009-06,3818652,
Korea Futures Exchange,**KOSPI 200,August,2003,2003-08,3810284,
Chicago Board of Trade,2 Year Treasury Note,February,2009,2009-02,3797232,
Chicago Board of Trade,2 Year Treasury Note,December,2010,2010-12,3790961,
Chicago Board of Trade,2 Year Treasury Note,October,2011,2011-10,3743255,
Chicago Board of Trade,2 Year Treasury Note,September,2010,2010-09,3719199,
Chicago Board of Trade,2 Year Treasury Note,June,2012,2012-06,3626153,
Chicago Board of Trade,2 Year Treasury Note,September,2012,2012-09,3575298,
Chicago Board of Trade,2 Year Treasury Note,April,2012,2012-04,3568893,
Chicago Board of Trade,2 Year Treasury Note,October,2012,2012-10,3318028,
Chicago Board of Trade,2 Year Treasury Note,February,2006,2006-02,3223253,
Chicago Board of Trade,2 Year Treasury Note,March,2006,2006-03,3206521,
Chicago Board of Trade,2 Year Treasury Note,October,2010,2010-10,3189803,
Chicago Board of Trade,2 Year Treasury Note,January,2012,2012-01,3162597,
Chicago Board of Trade,2 Year Treasury Note,April,2007,2007-04,3128278,
Chicago Board of Trade,2 Year Treasury Note,December,2012,2012-12,3127592,
Chicago Board of Trade,2 Year Treasury Note,July,2009,2009-07,3094748,
Chicago Board of Trade,2 Year Treasury Note,January,2007,2007-01,2892561,
Chicago Board of Trade,2 Year Treasury Note,December,2006,2006-12,2861970,
Chicago Board of Trade,2 Year Treasury Note,June,2006,2006-06,2837137,
Chicago Board of Trade,2 Year Treasury Note,September,2006,2006-09,2768266,
Chicago Board of Trade,2 Year Treasury Note,December,2011,2011-12,2664568,
Chicago Board of Trade,2 Year Treasury Note,July,2006,2006-07,2525146,
Chicago Board of Trade,2 Year Treasury Note,March,2009,2009-03,2486101,
Chicago Board of Trade,2 Year Treasury Note,November,2005,2005-11,2451514,
Chicago Board of Trade,2 Year Treasury Note,October,2006,2006-10,2422907,
Chicago Board of Trade,2 Year Treasury Note,May,2005,2005-05,2306303,
Chicago Board of Trade,2 Year Treasury Note,December,2008,2008-12,2225838,
Chicago Board of Trade,2 Year Treasury Note,April,2009,2009-04,2219719,
Chicago Board of Trade,2 Year Treasury Note,August,2005,2005-08,2144157,
Chicago Board of Trade,2 Year Treasury Note,September,2005,2005-09,2118035,
Chicago Board of Trade,2 Year Treasury Note,January,2009,2009-01,2117423,
Chicago Board of Trade,2 Year Treasury Note,April,2006,2006-04,2089958,
Chicago Board of Trade,2 Year Treasury Note,January,2006,2006-01,2053256,
Chicago Board of Trade,2 Year Treasury Note,February,2005,2005-02,1997529,
Chicago Board of Trade,2 Year Treasury Note,June,2005,2005-06,1811379,
Chicago Board of Trade,2 Year Treasury Note,March,2005,2005-03,1706144,
Chicago Board of Trade,2 Year Treasury Note,December,2005,2005-12,1671264,
Chicago Board of Trade,2 Year Treasury Note,April,2005,2005-04,1548258,
JSE Securities Exchange,All Share Index,June,2003,2003-06,1435304,
Chicago Board of Trade,2 Year Treasury Note,November,2004,2004-11,1393333,
Chicago Board of Trade,2 Year Treasury Note,October,2005,2005-10,1344075,
JSE Securities Exchange,All Share Index,September,2003,2003-09,1325931,
JSE Securities Exchange,All Share Index,December,2001,2001-12,1193576,
Chicago Board of Trade,2 Year Treasury Note,July,2005,2005-07,1152973,
JSE Securities Exchange,All Share Index,September,2003,2003-09,1137972,
JSE Securities Exchange,All Share Index,September,2001,2001-09,1127729,
JSE Securities Exchange,All Share Index,June,2003,2003-06,1098603,
JSE Securities Exchange,All Share Index,December,2003,2003-12,1088052,
JSE Securities Exchange,All Share Index,December,2003,2003-12,1086767,
Chicago Board of Trade,2 Year Treasury Note,December,2004,2004-12,1058503,
JSE Securities Exchange,All Share Index,March,2003,2003-03,1032924,
Chicago Board of Trade,2 Year Treasury Note,September,2004,2004-09,1014541,
Chicago Board of Trade,2 Year Treasury Note,August,2004,2004-08,1009935,
Chicago Board of Trade,2 Year Treasury Note,January,2005,2005-01,953728,
JSE Securities Exchange,All Share Index,May,2003,2003-05,928009,
Chicago Board of Trade,2 Year Treasury Note,May,2004,2004-05,872216,
JSE Securities Exchange,All Share Index,April,2003,2003-04,831057,
Chicago Board of Trade,2 Year Treasury Note,February,2004,2004-02,829814,
Chicago Board of Trade,2 Year Treasury Note,June,2004,2004-06,788845,
JSE Securities Exchange,All Share Index,June,1999,1999-06,778310,
JSE Securities Exchange,All Share Index,March,2002,2002-03,773666,
JSE Securities Exchange,All Share Index,March,2003,2003-03,771432,
JSE Securities Exchange,All Share Index,October,2001,2001-10,764773,
JSE Securities Exchange,All Share Index,June,2002,2002-06,752883,
JSE Securities Exchange,All Share Index,July,2003,2003-07,749912,
Chicago Board of Trade,2 Year Treasury Note,July,2012,2012-07,737017,
JSE Securities Exchange,All Share Index,March,2001,2001-03,731949,
JSE Securities Exchange,All Share Index,July,2002,2002-07,726399,
JSE Securities Exchange,All Share Index,March,2000,2000-03,720810,
JSE Securities Exchange,All Share Index,October,2003,2003-10,714973,
JSE Securities Exchange,All Share Index,June,2001,2001-06,708387,
JSE Securities Exchange,All Share Index,March,1999,1999-03,704944,
JSE Securities Exchange,All Share Index,December,2002,2002-12,695953,
JSE Securities Exchange,All Share Index,September,2002,2002-09,695275,
JSE Securities Exchange,All Share Index,January,2002,2002-01,692292,
JSE Securities Exchange,All Share Index,November,2001,2001-11,678920,
Chicago Board of Trade,2 Year Treasury Note,October,2004,2004-10,678045,
JSE Securities Exchange,All Share Index,September,1999,1999-09,647564,
JSE Securities Exchange,All Share Index,October,2003,2003-10,632419,
Chicago Board of Trade,2 Year Treasury Note,March,2004,2004-03,630037,
JSE Securities Exchange,All Share Index,February,2002,2002-02,624306,
JSE Securities Exchange,All Share Index,May,2003,2003-05,613093,
JSE Securities Exchange,All Share Index,August,2003,2003-08,610368,
JSE Securities Exchange,All Share Index,October,2002,2002-10,579252,
JSE Securities Exchange,All Share Index,August,2003,2003-08,578522,
JSE Securities Exchange,All Share Index,May,2001,2001-05,567718,
JSE Securities Exchange,All Share Index,February,2000,2000-02,558402,
JSE Securities Exchange,All Share Index,April,1999,1999-04,558069,
JSE Securities Exchange,All Share Index,March,1998,1998-03,556903,
JSE Securities Exchange,All Share Index,September,2000,2000-09,553014,
JSE Securities Exchange,All Share Index,November,2003,2003-11,549744,
JSE Securities Exchange,All Share Index,July,2003,2003-07,547178,
JSE Securities Exchange,All Share Index,May,1999,1999-05,531527,
JSE Securities Exchange,All Share Index,December,1999,1999-12,529819,
JSE Securities Exchange,All Share Index,June,2000,2000-06,528980,
JSE Securities Exchange,All Share Index,August,2002,2002-08,526775,
JSE Securities Exchange,All Share Index,November,2000,2000-11,518251,
JSE Securities Exchange,All Share Index,October,2000,2000-10,508761,
JSE Securities Exchange,All Share Index,August,2001,2001-08,494987,
JSE Securities Exchange,All Share Index,February,2001,2001-02,494142,
JSE Securities Exchange,All Share Index,February,2003,2003-02,492387,
JSE Securities Exchange,All Share Index,December,2000,2000-12,484443,
JSE Securities Exchange,All Share Index,November,2003,2003-11,483239,
JSE Securities Exchange,All Share Index,July,2001,2001-07,482796,
JSE Securities Exchange,All Share Index,August,2000,2000-08,480251,
JSE Securities Exchange,All Share Index,January,2001,2001-01,474953,
JSE Securities Exchange,All Share Index,May,2002,2002-05,470696,
JSE Securities Exchange,All Share Index,September,1998,1998-09,463201,
Chicago Board of Trade,2 Year Treasury Note,April,2004,2004-04,462388,
JSE Securities Exchange,All Share Index,June,1998,1998-06,444886,
JSE Securities Exchange,All Share Index,October,1998,1998-10,441622,
JSE Securities Exchange,All Share Index,January,2000,2000-01,437765,
JSE Securities Exchange,All Share Index,October,1999,1999-10,427542,
Chicago Board of Trade,2 Year Treasury Note,March,2011,2011-03,423508,
JSE Securities Exchange,All Share Index,May,2000,2000-05,423499,
Chicago Board of Trade,2 Year Treasury Note,November,2012,2012-11,421643,
JSE Securities Exchange,All Share Index,January,1999,1999-01,410647,
JSE Securities Exchange,All Share Index,July,1999,1999-07,407526,
Chicago Board of Trade,2 Year Treasury Note,July,2004,2004-07,406716,
JSE Securities Exchange,All Share Index,January,1998,1998-01,403708,
JSE Securities Exchange,All Share Index,April,2003,2003-04,400002,
JSE Securities Exchange,All Share Index,April,2002,2002-04,393509,
JSE Securities Exchange,All Share Index,February,1999,1999-02,392668,
JSE Securities Exchange,All Share Index,February,1995,1995-02,389415,
JSE Securities Exchange,All Share Index,January,2003,2003-01,386413,
JSE Securities Exchange,All Share Index,August,1999,1999-08,383328,
JSE Securities Exchange,All Share Index,July,1998,1998-07,378020,
JSE Securities Exchange,All Share Index,October,1997,1997-10,361135,
Chicago Board of Trade,2 Year Treasury Note,March,2010,2010-03,358857,
Chicago Board of Trade,2 Year Treasury Note,September,2008,2008-09,355048,
Chicago Board of Trade,2 Year Treasury Note,August,2009,2009-08,343419,
JSE Securities Exchange,All Share Index,May,1998,1998-05,342570,
JSE Securities Exchange,All Share Index,February,1997,1997-02,342278,
JSE Securities Exchange,All Share Index,February,1998,1998-02,338879,
Chicago Board of Trade,2 Year Treasury Note,June,2009,2009-06,337195,
Chicago Board of Trade,2 Year Treasury Note,February,2011,2011-02,336698,
JSE Securities Exchange,All Share Index,July,2000,2000-07,333565,
Chicago Board of Trade,2 Year Treasury Note,April,2011,2011-04,330525,
JSE Securities Exchange,All Share Index,November,1998,1998-11,329477,
Nyse Liffe U.S.,10 Year Treasury,August,2011,2011-08,326942,
JSE Securities Exchange,All Share Index,August,1998,1998-08,326343,
JSE Securities Exchange,All Share Index,April,2001,2001-04,324627,
JSE Securities Exchange,All Share Index,December,1998,1998-12,323246,
Chicago Board of Trade,2 Year Treasury Note,May,2010,2010-05,320220,
JSE Securities Exchange,All Share Index,March,1994,1994-03,318807,
Chicago Board of Trade,2 Year Treasury Note,March,2012,2012-03,311105,
Chicago Board of Trade,2 Year Treasury Note,January,2004,2004-01,310401,
Chicago Board of Trade,2 Year Treasury Note,January,2008,2008-01,309902,
Nyse Liffe U.S.,10 Year Treasury,September,2011,2011-09,305793,
JSE Securities Exchange,All Share Index,January,1995,1995-01,298258,
Chicago Board of Trade,2 Year Treasury Note,April,2010,2010-04,295480,
Chicago Board of Trade,2 Year Treasury Note,September,2009,2009-09,294598,
Chicago Board of Trade,2 Year Treasury Note,August,2012,2012-08,292458,
JSE Securities Exchange,All Share Index,November,1997,1997-11,289773,
Chicago Board of Trade,2 Year Treasury Note,January,2010,2010-01,285743,
Chicago Board of Trade,2 Year Treasury Note,June,2011,2011-06,283419,
JSE Securities Exchange,All Share Index,January,1994,1994-01,282668,
Chicago Board of Trade,2 Year Treasury Note,May,2008,2008-05,282105,
JSE Securities Exchange,All Share Index,December,1997,1997-12,279628,
JSE Securities Exchange,All Share Index,April,1998,1998-04,271443,
JSE Securities Exchange,All Share Index,April,2000,2000-04,269490,
JSE Securities Exchange,All Share Index,November,1999,1999-11,265630,
Chicago Board of Trade,2 Year Treasury Note,September,2011,2011-09,260516,
Chicago Board of Trade,2 Year Treasury Note,October,2012,2012-10,255472,
Nyse Liffe U.S.,10 Year Treasury,July,2011,2011-07,255396,
Chicago Board of Trade,2 Year Treasury Note,September,2012,2012-09,254978,
JSE Securities Exchange,All Share Index,September,1997,1997-09,250984,
Chicago Board of Trade,2 Year Treasury Note,July,2009,2009-07,249231,
JSE Securities Exchange,All Share Index,March,1995,1995-03,244686,
Chicago Board of Trade,2 Year Treasury Note,February,2010,2010-02,239734,
Nyse Liffe U.S.,10 Year Treasury,October,2011,2011-10,235443,
Chicago Board of Trade,2 Year Treasury Note,November,2009,2009-11,224374,
JSE Securities Exchange,All Share Index,January,1997,1997-01,221347,
JSE Securities Exchange,All Share Index,December,1996,1996-12,217001,
JSE Securities Exchange,All Share Index,February,1994,1994-02,215913,
JSE Securities Exchange,All Share Index,June,1994,1994-06,214828,
Chicago Board of Trade,2 Year Treasury Note,October,2009,2009-10,213843,
Chicago Board of Trade,2 Year Treasury Note,July,2011,2011-07,213487,
Chicago Board of Trade,2 Year Treasury Note,December,2009,2009-12,211454,
JSE Securities Exchange,All Share Index,March,1997,1997-03,211420,
JSE Securities Exchange,All Share Index,September,1994,1994-09,206979,
JSE Securities Exchange,All Share Index,November,1996,1996-11,205861,
Chicago Board of Trade,2 Year Treasury Note,May,2012,2012-05,204182,
Chicago Board of Trade,2 Year Treasury Note,June,2008,2008-06,204115,
Chicago Board of Trade,2 Year Treasury Note,November,2007,2007-11,204039,
Chicago Board of Trade,2 Year Treasury Note,August,2011,2011-08,201212,
JSE Securities Exchange,All Share Index,June,1997,1997-06,201050,
Chicago Board of Trade,2 Year Treasury Note,September,2007,2007-09,196418,
Chicago Board of Trade,2 Year Treasury Note,February,2008,2008-02,193164,
Chicago Board of Trade,2 Year Treasury Note,May,2011,2011-05,193152,
Chicago Board of Trade,2 Year Treasury Note,July,2008,2008-07,192024,
Chicago Board of Trade,2 Year Treasury Note,December,2012,2012-12,191984,
Chicago Board of Trade,2 Year Treasury Note,February,2012,2012-02,191385,
Chicago Board of Trade,2 Year Treasury Note,March,2008,2008-03,186346,
Chicago Board of Trade,2 Year Treasury Note,December,2010,2010-12,185619,
Chicago Board of Trade,2 Year Treasury Note,August,2007,2007-08,185561,
JSE Securities Exchange,All Share Index,March,1996,1996-03,184605,
JSE Securities Exchange,All Share Index,January,1996,1996-01,184421,
JSE Securities Exchange,All Share Index,February,1996,1996-02,184421,
Chicago Board of Trade,"5,000 oz. Silver",February,2007,2007-02,183357,
Chicago Board of Trade,"5,000 oz. Silver",November,2006,2006-11,180740,
Chicago Board of Trade,2 Year Treasury Note,October,2008,2008-10,178065,
Chicago Board of Trade,"5,000 oz. Silver",January,2007,2007-01,175657,
JSE Securities Exchange,All Share Index,November,1994,1994-11,172427,
JSE Securities Exchange,All Share Index,May,1997,1997-05,171334,
Chicago Board of Trade,2 Year Treasury Note,June,2012,2012-06,168849,
Chicago Board of Trade,2 Year Treasury Note,April,2008,2008-04,167631,
Nyse Liffe U.S.,10 Year Treasury,May,2012,2012-05,166445,
JSE Securities Exchange,All Share Index,August,1994,1994-08,164324,
Chicago Board of Trade,2 Year Treasury Note,June,2010,2010-06,163304,
Chicago Board of Trade,"5,000 oz. Silver",December,2006,2006-12,160963,
JSE Securities Exchange,All Share Index,April,1996,1996-04,157223,
Chicago Board of Trade,2 Year Treasury Note,October,2011,2011-10,155940,
London Commodity Exchange,$ Coffee,May,1994,1994-05,155299,
JSE Securities Exchange,All Share Index,May,1996,1996-05,154697,
Chicago Board of Trade,"5,000 oz. Silver",November,2007,2007-11,154384,
Chicago Board of Trade,2 Year Treasury Note,July,2010,2010-07,154216,
JSE Securities Exchange,All Share Index,September,1996,1996-09,153103,
Nyse Liffe U.S.,10 Year Treasury,November,2011,2011-11,151025,
Chicago Board of Trade,2 Year Treasury Note,January,2011,2011-01,150941,
JSE Securities Exchange,All Share Index,April,1997,1997-04,145995,
JSE Securities Exchange,All Share Index,May,1994,1994-05,145435,
London Commodity Exchange,$ Coffee,June,1994,1994-06,145264,
Nyse Liffe U.S.,10 Year Treasury,March,2012,2012-03,144872,
JSE Securities Exchange,All Share Index,October,1996,1996-10,144662,
Nyse Liffe U.S.,10 Year Treasury,January,2012,2012-01,144207,
Chicago Board of Trade,"5,000 oz. Silver",September,2006,2006-09,143442,
Nyse Liffe U.S.,10 Year Treasury,August,2012,2012-08,142956,
Chicago Board of Trade,"5,000 oz. Silver",October,2006,2006-10,140793,
JSE Securities Exchange,All Share Index,August,1996,1996-08,139500,
Chicago Board of Trade,2 Year Treasury Note,August,2008,2008-08,138070,
JSE Securities Exchange,All Share Index,May,1995,1995-05,138043,
Chicago Mercantile Exchange,90 Day T-Bills,February,1994,1994-02,136974,
JSE Securities Exchange,All Share Index,July,1996,1996-07,135787,
Chicago Board of Trade,"5,000 oz. Silver",March,2007,2007-03,135386,
JSE Securities Exchange,All Share Index,April,1995,1995-04,134957,
JSE Securities Exchange,All Share Index,August,1997,1997-08,133474,
Chicago Board of Trade,2 Year Treasury Note,February,2009,2009-02,133012,
JSE Securities Exchange,All Share Index,October,1994,1994-10,132885,
Chicago Board of Trade,"5,000 oz. Silver",June,2007,2007-06,132510,
London Commodity Exchange,$ Coffee,July,1994,1994-07,132316,
Chicago Board of Trade,"5,000 oz. Silver",April,2007,2007-04,130629,
Chicago Board of Trade,2 Year Treasury Note,August,2010,2010-08,130161,
Chicago Board of Trade,2 Year Treasury Note,June,2006,2006-06,128687,
Chicago Board of Trade,"5,000 oz. Silver",August,2007,2007-08,125373,
Chicago Board of Trade,"5,000 oz. Silver",August,2006,2006-08,124837,
Chicago Board of Trade,2 Year Treasury Note,March,2009,2009-03,119346,
Nyse Liffe U.S.,10 Year Treasury,December,2011,2011-12,117865,
Chicago Mercantile Exchange,90 Day T-Bills,March,1994,1994-03,115874,
JSE Securities Exchange,All Share Index,April,1994,1994-04,115232,
Chicago Board of Trade,2 Year Treasury Note,January,2009,2009-01,112973,
Nyse Liffe U.S.,10 Year Treasury,November,2012,2012-11,112210,
JSE Securities Exchange,All Share Index,July,1997,1997-07,111071,
Chicago Board of Trade,"5,000 oz. Silver",October,2007,2007-10,110891,
Chicago Board of Trade,2 Year Treasury Note,December,2007,2007-12,110796,
Chicago Board of Trade,2 Year Treasury Note,April,2012,2012-04,110472,
Chicago Board of Trade,"5,000 oz. Silver",May,2007,2007-05,110034,
JSE Securities Exchange,All Share Index,June,1995,1995-06,109579,
Chicago Board of Trade,2 Year Treasury Note,October,2007,2007-10,108849,
London Commodity Exchange,$ Coffee,April,1994,1994-04,108450,
JSE Securities Exchange,All Share Index,July,1994,1994-07,108181,
JSE Securities Exchange,All Share Index,December,1994,1994-12,107993,
Chicago Board of Trade,"5,000 oz. Silver",March,2008,2008-03,107610,
London Commodity Exchange,$ Coffee,August,1994,1994-08,106210,
Chicago Mercantile Exchange,90 Day T-Bills,June,1993,1993-06,105960,
Nyse Liffe U.S.,10 Year Treasury,June,2012,2012-06,105959,
London Commodity Exchange,$ Coffee,February,1995,1995-02,105113,
Chicago Mercantile Exchange,90 Day T-Bills,April,1994,1994-04,104387,
Chicago Mercantile Exchange,90 Day T-Bills,May,1993,1993-05,103198,
Chicago Board of Trade,"5,000 oz. Silver",February,2008,2008-02,102622,
Chicago Board of Trade,2 Year Treasury Note,December,2011,2011-12,101245,
London Commodity Exchange,$ Coffee,March,1994,1994-03,100684,
Chicago Mercantile Exchange,90 Day T-Bills,February,1993,1993-02,100444,
Chicago Mercantile Exchange,90 Day T-Bills,May,1994,1994-05,99385,
Nyse Liffe U.S.,10 Year Treasury,February,2012,2012-02,99299,
London Commodity Exchange,$ Coffee,September,1994,1994-09,99057,
JSE Securities Exchange,All Share Index,November,1995,1995-11,98835,
Chicago Board of Trade,2 Year Treasury Note,May,2006,2006-05,98768,
London Commodity Exchange,$ Coffee,December,1995,1995-12,98497,
JSE Securities Exchange,All Share Index,October,1995,1995-10,98109,
Chicago Board of Trade,"5,000 oz. Silver",June,2006,2006-06,98054,
London Commodity Exchange,$ Coffee,October,1994,1994-10,98016,
Nyse Liffe U.S.,10 Year Treasury,September,2012,2012-09,97621,
Chicago Board of Trade,2 Year Treasury Note,October,2010,2010-10,97176,
Chicago Mercantile Exchange,90 Day T-Bills,March,1993,1993-03,97041,
Chicago Board of Trade,"5,000 oz. Silver",January,2008,2008-01,96600,
Nyse Liffe U.S.,10 Year Treasury,April,2012,2012-04,96482,
Chicago Board of Trade,"5,000 oz. Silver",May,2006,2006-05,95837,
London Commodity Exchange,$ Coffee,October,1995,1995-10,95426,
JSE Securities Exchange,All Share Index,September,1995,1995-09,93717,
Chicago Board of Trade,"5,000 oz. Silver",April,2006,2006-04,93498,
London Commodity Exchange,$ Coffee,March,1995,1995-03,92960,
Chicago Board of Trade,"5,000 oz. Silver",September,2007,2007-09,92518,
Chicago Board of Trade,"5,000 oz. Silver",July,2007,2007-07,92204,
London Commodity Exchange,$ Coffee,September,1995,1995-09,91303,
London Commodity Exchange,$ Coffee,July,1995,1995-07,91243,
Chicago Mercantile Exchange,90 Day T-Bills,March,1995,1995-03,90311,
Euronext Paris,CAC 40 1 Euro,February,1999,1999-02,89682,
Chicago Mercantile Exchange,90 Day T-Bills,June,1994,1994-06,89399,
Chicago Mercantile Exchange,90 Day T-Bills,September,1993,1993-09,89276,
Chicago Board of Trade,2 Year Treasury Note,April,2009,2009-04,89099,
London Commodity Exchange,$ Coffee,June,1995,1995-06,88870,
Chicago Board of Trade,"5,000 oz. Silver",July,2006,2006-07,88040,
London Commodity Exchange,$ Coffee,November,1995,1995-11,87648,
London Commodity Exchange,$ Coffee,November,1994,1994-11,87593,
Chicago Mercantile Exchange,90 Day T-Bills,November,1993,1993-11,87350,
JSE Securities Exchange,All Share Index,August,1995,1995-08,86999,
London Commodity Exchange,$ Coffee,February,1994,1994-02,86902,
Chicago Board of Trade,2 Year Treasury Note,September,2010,2010-09,86810,
Chicago Mercantile Exchange,90 Day T-Bills,January,1993,1993-01,86062,
Chicago Mercantile Exchange,90 Day T-Bills,December,1994,1994-12,83820,
Chicago Board of Trade,2 Year Treasury Note,March,2006,2006-03,83496,
Chicago Board of Trade,2 Year Treasury Note,November,2010,2010-11,83139,
London Commodity Exchange,$ Coffee,January,1995,1995-01,82722,
JSE Securities Exchange,All Share Index,June,1996,1996-06,82692,
Chicago Mercantile Exchange,90 Day T-Bills,November,1994,1994-11,81192,
JSE Securities Exchange,All Share Index,July,1995,1995-07,80822,
Chicago Board of Trade,2 Year Treasury Note,November,2008,2008-11,80339,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),May,2012,2012-05,80159,
Chicago Mercantile Exchange,90 Day T-Bills,February,1995,1995-02,80003,
London Commodity Exchange,$ Coffee,May,1995,1995-05,79275,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),November,2011,2011-11,79082,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),February,2012,2012-02,78916,
London Commodity Exchange,$ Coffee,December,1994,1994-12,78733,
Chicago Mercantile Exchange,90 Day T-Bills,September,1994,1994-09,77599,
Chicago Board of Trade,2 Year Treasury Note,February,2006,2006-02,77015,
Nyse Liffe U.S.,10 Year Treasury,December,2012,2012-12,76458,
Chicago Mercantile Exchange,90 Day T-Bills,August,1993,1993-08,75685,
London Commodity Exchange,$ Coffee,April,1995,1995-04,75492,
National Commodity & Derivatives Exchange,Barley,July,2012,2012-07,75044,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),January,2012,2012-01,74356,
London Commodity Exchange,$ Coffee,August,1995,1995-08,74195,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),June,2011,2011-06,73318,
Nyse Liffe U.S.,10 Year Treasury,October,2012,2012-10,73278,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),June,2012,2012-06,73013,
