Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"TC5 USD Tanker Freight",Future,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,450,1511
"TC6 USD Tanker Freight",Future,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,185,235
"TD20 USD Tanker Freight",Future,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,1160,2550
"TD3 USD Tanker Freight",Future,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,909,3031
"TD3 USD Tanker Freight",Option,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,0,100
"TD8 USD Tanker Freight",Future,Other,"Nasdaq Commodities",Nasdaq,NOC,Sweden,Europe,2017,09,2017-09,30,100
TecDAX,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,13516,4862
Tecdax,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,93,30
"Tennessee 500 Leg Natural Gas (Platts IFERC) Basis (NM)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,62
"Tennessee 800 Leg Natural Gas (Platts IFERC) Basis (6Z)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,62
"Tennessee Zone 0 Natural Gas (Platts IFERC) Basis (NQ)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,666
"Ternero Index (Cattle)",Future,Agriculture,"Rosario Futures Exchange","Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,09,2017-09,40,40
"TETCO M-3 Natural Gas (Platts Gas Daily/Platts IFERC) Index (IX)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,1708
"TETCO STX Natural Gas (Platts IFERC) Basis (TX)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,1006
"Texas Eastern Zone M-3 Natural Gas (Platts IFERC) Basis (NX)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,9605
"Texas Gas, Zone 1 Natural Gas (Platts IFERC) Basis (9F)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,7812
"Thermal Coal (ZC)",Future,Energy,"Zhengzhou Commodity Exchange","Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,09,2017-09,4126695,198920
"TIIE 28",Future,"Interest Rates","Mexican Derivatives Exchange","BMV Group",MEXDER,Mexico,"Latin America",2017,09,2017-09,25828,172828
Tin,Future,Metals,"Indonesia Commodity & Derivatives Exchange","Indonesia Commodity & Derivatives Exchange",ICDX,Indonesia,Asia,2017,09,2017-09,1373,0
Tin,Future,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,82936,17270
Tin,Future,Metals,"Shanghai Futures Exchange","Shanghai Futures Exchange",SHFE,China,Asia,2017,09,2017-09,163964,8994
