Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Utility Index (UTY)",Option,Equity,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,40,NULL
"Utility Index (UTY)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,40
"UxC Uranium U3O8 (UX)",Future,Metals,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,17,4227
"Ventura Natural Gas (Platts IFERC) Basis (PF)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,2224
"Volatility Index (VIX)",Option,Other,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,16980549,NULL
"Volatility Index (VX)",Future,Other,"CBOE Futures Exchange","CBOE Holdings",CFE,"United States","North America",2017,09,2017-09,5721939,664280
VSTOXX,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,190591,0
"VSTOXX (OVS2)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,273978,335839
"Waha Natural Gas (Platts IFERC) Basis (NW)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,8608
"Wall St. 30",Option,Equity,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,51344,NULL
"West Texas Intermediate (WTI)",Future,Energy,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,4461,450
"Western Canadian Select Oil (Net Energy) Monthly Index (WCW)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,6395,15480
