Exchange_Name,FIA_Region,Open_Interest,Open_Interest,Volume,Volume,Ratio,Ratio
,,2007,5000,2007,12005094,2007,8
,,2008,5000,2008,30810540,2008,9
,,2009,5000,2009,45753969,2009,10
,,2010,5000,2010,10682204,2010,1
,,2011,5000,2011,1971141,2011,2
,,2012,5000,2012,9132,2012,4
,,2013,70690,2013,3135340,2013,3
,,2014,100084,2014,651638,2014,5
,,2015,424681,2015,32401698,2015,6
,,2016,4394986,2016,142796227,2016,7
Singapore Exchange,Asia,2010,5000,2010,6490,2010,8
,,2011,5000,2011,1746,2011,9
Singapore International Monetary Exchange,Asia,1994,5000,1994,171896,1994,10
,,1995,5000,1995,92866,1995,1
,,1996,5000,1996,63577,1996,2
,,1997,5000,1997,34833,1997,4
,,1998,5000,1998,32600,1998,3
,,1999,5000,1999,18853,1999,5
,,2000,5000,2000,3980,2000,6
,,2001,5000,2001,50,2001,7
,,2002,5000,2002,1282,2002,8
,,2003,5000,2003,2590,2003,9
Singapore Mercantile Exchange,Asia,2010,5000,2010,2090,2010,10
,,2011,5000,2011,25723,2011,1
,,2012,5000,2012,3429,2012,2
Thailand Futures Exchange,Asia,2011,5000,2011,3320,2011,4
,,2012,5000,2012,147823,2012,3
,,2013,5381,2013,46496,2013,5
,,2014,4921,2014,32530,2014,6
,,2015,5057,2015,25970,2015,7
,,2016,2982,2016,19076,2016,8
Tokyo Commodity Exchange,Asia,1999,5000,1999,5414831,1999,9
,,2000,5000,2000,21111439,2000,10
,,2001,5000,2001,25654212,2001,1
,,2002,5000,2002,33385885,2002,2
,,2003,5000,2003,41068117,2003,4
,,2004,5000,2004,39205280,2004,3
,,2005,5000,2005,26732003,2005,5
,,2006,5000,2006,19386944,2006,6
,,2007,5000,2007,11369543,2007,7
,,2008,5000,2008,6129295,2008,8
,,2009,5000,2009,4383212,2009,9
,,2010,5000,2010,4665935,2010,10
,,2011,5000,2011,4789225,2011,1
,,2012,5000,2012,4532168,2012,2
,,2013,780046,2013,4402511,2013,4
,,2014,612239,2014,3489531,2014,3
,,2015,883928,2015,5778780,2015,5
,,2016,959395,2016,5565931,2016,6
Zhengzhou Commodity Exchange,Asia,2013,141702,2013,4357384,2013,7
,,2014,496623,2014,5646295,2014,8
,,2015,254625,2015,2652047,2015,9
,,2016,1026627,2016,34859715,2016,10
