source,target,value
ICAP,Cleared,312287268670
trueEX,Cleared,474256473228
IGDL,Cleared,384753002601
Tradition,Cleared,347009060820
ICAP,Uncleared,81869797542
IGDL,Uncleared,142688644333
Tradition,Uncleared,101278115244
