source,target,value
ICAP,Cleared,23516423611651
trueEX,Cleared,6387058790684
IGDL,Cleared,4292459228669
Tradition,Cleared,2957924386702
ICAP,Uncleared,1964646591395
IGDL,Uncleared,1171888702684
Tradition,Uncleared,1871494765762
NEX,Uncleared,30123000000
SwapEx,Uncleared,535844629
