Exchange Name,Reported Instrument Name,Report Month Name,Report Year,Report_Year_Month,Volume,Open Interest
Chicago Board of Trade,Corn,April,2011,2011-04,8715138,
Chicago Board of Trade,Corn,January,2011,2011-01,5980991,
Chicago Board of Trade,Corn,March,2011,2011-03,7552429,
Chicago Board of Trade,Corn,December,1998,1998-12,986624,
Chicago Board of Trade,Corn,February,2012,2012-02,7388641,
Chicago Board of Trade,Corn,October,2011,2011-10,5568224,
Chicago Board of Trade,Corn,November,2011,2011-11,8003377,
Chicago Board of Trade,Corn,December,2011,2011-12,4055191,
Chicago Board of Trade,Corn,January,2012,2012-01,6194823,
Chicago Board of Trade,Corn,June,2011,2011-06,8639534,
Chicago Board of Trade,Corn,September,2011,2011-09,5385719,
Chicago Board of Trade,Corn,May,2011,2011-05,5676886,
Chicago Board of Trade,Corn,July,2011,2011-07,5119287,
Chicago Board of Trade,Corn,December,2010,2010-12,4280378,
Chicago Board of Trade,Corn,February,2011,2011-02,7473077,
Chicago Board of Trade,Corn,May,1999,1999-05,975104,
Chicago Board of Trade,Corn,June,1999,1999-06,1597402,
Chicago Board of Trade,Corn,November,1998,1998-11,1217237,
Chicago Board of Trade,Corn,February,1999,1999-02,1374215,
Chicago Board of Trade,Corn,October,1999,1999-10,1096214,
Chicago Board of Trade,Corn,March,1999,1999-03,1440140,
Chicago Board of Trade,Corn,January,1999,1999-01,955052,
Chicago Board of Trade,Corn,April,1999,1999-04,1420602,
Chicago Board of Trade,Corn,August,1999,1999-08,1669768,
Chicago Board of Trade,Corn,October,1998,1998-10,1319324,
Chicago Board of Trade,Corn,September,1999,1999-09,1131919,
Chicago Board of Trade,Corn,November,1999,1999-11,1500856,
Chicago Board of Trade,Corn,July,1999,1999-07,1707950,
Chicago Board of Trade,Corn,September,1998,1998-09,1126340,
Chicago Board of Trade,Corn,February,2010,2010-02,5217463,
Chicago Board of Trade,Corn,March,2010,2010-03,3935367,
Chicago Board of Trade,Corn,May,2010,2010-05,4240579,
Chicago Board of Trade,Corn,April,2010,2010-04,6466011,
Chicago Board of Trade,Corn,June,2010,2010-06,6207781,
Chicago Board of Trade,Corn,January,2010,2010-01,4025928,
Chicago Board of Trade,Corn,December,2009,2009-12,3134893,
Chicago Board of Trade,Corn,September,2009,2009-09,3153761,
Chicago Board of Trade,Corn,November,2009,2009-11,5509056,
Chicago Board of Trade,Corn,October,2009,2009-10,4374024,
Chicago Board of Trade,Corn,August,1993,1993-08,1014146,
Chicago Board of Trade,Corn,May,1994,1994-05,1079209,
Chicago Board of Trade,Corn,April,1994,1994-04,1108860,
Chicago Board of Trade,Corn,July,1994,1994-07,747590,
