source,target,value
ICAP Global Deriviates Limited,CME,1
ICAP Global Deriviates Limited,LCH, 4  
ICAP SEF (US) LLC,ASX,3
ICAP SEF (US) LLC,CME,3
ICAP SEF (US) LLC,ICE Clear Credit,1
ICAP SEF (US) LLC,JSCC,1
ICAP SEF (US) LLC,LCH,3
Tradition SEF Inc.,CME,3
Tradition SEF Inc.,ICE Clear Credit,2
Tradition SEF Inc.,LCH,3 
trueEX LLC,CME,1 
trueEX LLC,LCH,5 



