source,target,value
IGDL,CME,19930000000
IGDL,LCH,364823002601
ICAP,ASX,36974234741
ICAP,CME,32370614342
ICAP,ICE,1000000000
ICAP,JSCC,18983555110
ICAP,LCH,223958864477
Tradition,CME,34162871870
Tradition,ICE,2322000000
Tradition,LCH,312846188950
trueEX,CME,12334541598
trueEX,LCH,461921931630
